RPHASCH2410_RS30325	amidohydrolase	WP_016736951.1
RPHASCH2410_RS04095	AraC family transcriptional regulator	WP_016737306.1
RPHASCH2410_RS04100	TerC family protein	WP_029532253.1
RPHASCH2410_RS04105	glutamate--tRNA ligase	WP_016737308.1
RPHASCH2410_RS04110	lysine--tRNA ligase	WP_012485281.1
RPHASCH2410_RS04125	spermidine/putrescine ABC transporter	WP_012485283.1
RPHASCH2410_RS04130	ABC transporter ATP-binding protein	WP_012485284.1
RPHASCH2410_RS04135	ABC transporter permease	WP_012485285.1
RPHASCH2410_RS04140	ABC transporter permease	WP_004678022.1
RPHASCH2410_RS04145	gamma-aminobutyraldehyde dehydrogenase	WP_016737310.1
RPHASCH2410_RS04165	transaldolase	WP_004668751.1
RPHASCH2410_RS04190	endonuclease III	WP_004668744.1
RPHASCH2410_RS04195	TetR/AcrR family transcriptional regulator	WP_016737317.1
RPHASCH2410_RS04260	N-acetylglucosamine kinase	WP_029532259.1
RPHASCH2410_RS04285	OsmC family peroxiredoxin	WP_004668726.1
RPHASCH2410_RS04290	short-chain dehydrogenase	WP_016737329.1
RPHASCH2410_RS04295	aldose 1-epimerase	WP_016737330.1
RPHASCH2410_RS04300	L-arabinose ABC transporter permease AraH	WP_016737331.1
RPHASCH2410_RS04305	L-arabinose ABC transporter ATP-binding protein	WP_016737332.1
RPHASCH2410_RS04310	arabinose ABC transporter substrate-binding	WP_016737333.1
RPHASCH2410_RS04320	galactonate dehydratase	WP_016737335.1
RPHASCH2410_RS04385	7-cyano-7-deazaguanine synthase QueC	WP_016737530.1
RPHASCH2410_RS04390	6-carboxytetrahydropterin synthase QueD	WP_016737529.1
RPHASCH2410_RS04405	class 1b ribonucleoside-diphosphate reductase	WP_016737526.1
RPHASCH2410_RS04410	class 1b ribonucleoside-diphosphate reductase	WP_029532487.1
RPHASCH2410_RS04415	class Ib ribonucleoside-diphosphate reductase	WP_016737524.1
RPHASCH2410_RS04420	glutaredoxin-like protein NrdH	WP_004677360.1
RPHASCH2410_RS04425	heavy metal translocating P-type ATPase	WP_016737523.1
RPHASCH2410_RS04430	MerR family DNA-binding transcriptional	WP_016737522.1
RPHASCH2410_RS04450	aldehyde dehydrogenase family protein	WP_012485341.1
RPHASCH2410_RS04460	protease	WP_012485342.1
RPHASCH2410_RS04475	calcium:proton antiporter	WP_016737517.1
RPHASCH2410_RS04515	sugar ABC transporter ATP-binding protein	WP_016737510.1
RPHASCH2410_RS04560	M23 family peptidase	WP_029531907.1
RPHASCH2410_RS04565	ATP-dependent chaperone ClpB	WP_016736491.1
RPHASCH2410_RS04575	peptide chain release factor N(5)-glutamine	WP_016736490.1
RPHASCH2410_RS04580	peptide chain release factor 1	WP_016736489.1
RPHASCH2410_RS04585	phosphoenolpyruvate--protein phosphotransferase	WP_004671809.1
RPHASCH2410_RS04595	bifunctional 3-demethylubiquinone	WP_012485360.1
RPHASCH2410_RS04610	glutaredoxin 3	WP_010002303.1
RPHASCH2410_RS04635	8-oxo-dGTP diphosphatase MutT	WP_012485366.1
RPHASCH2410_RS04650	peptidylprolyl isomerase	WP_004671783.1
RPHASCH2410_RS04655	preprotein translocase subunit SecA	WP_016736484.1
RPHASCH2410_RS04675	aldo/keto reductase	WP_016736480.1
RPHASCH2410_RS04750	short-chain dehydrogenase	WP_016736472.1
RPHASCH2410_RS04780	3-hydroxybutyryl-CoA dehydrogenase	WP_012485391.1
RPHASCH2410_RS04790	argininosuccinate lyase	WP_012485393.1
RPHASCH2410_RS04800	diaminopimelate decarboxylase	WP_016736469.1
RPHASCH2410_RS04815	hypoxanthine phosphoribosyltransferase	WP_004671390.1
RPHASCH2410_RS04825	cell division ATP-binding protein FtsE	WP_004671394.1
RPHASCH2410_RS04845	gamma-glutamylcyclotransferase	WP_029531901.1
RPHASCH2410_RS04875	hydroxyacylglutathione hydrolase	WP_016736458.1
RPHASCH2410_RS04900	50S ribosomal protein L28	WP_004679586.1
RPHASCH2410_RS04905	membrane protein	WP_016736456.1
RPHASCH2410_RS04935	BolA family transcriptional regulator	WP_039752199.1
RPHASCH2410_RS04940	HlyC/CorC family transporter	WP_016736450.1
RPHASCH2410_RS04945	3-dehydroquinate synthase	WP_016736449.1
RPHASCH2410_RS04950	shikimate kinase	WP_016736448.1
RPHASCH2410_RS04955	site-specific tyrosine recombinase XerD	WP_029531897.1
RPHASCH2410_RS04960	acetyl-CoA carboxylase carboxyl transferase	WP_016736446.1
RPHASCH2410_RS04965	transpeptidase	WP_046977078.1
RPHASCH2410_RS04970	sulfurtransferase TusA family protein	WP_029531896.1
RPHASCH2410_RS05020	hypothetical protein	WP_016736433.1
RPHASCH2410_RS05120	1-deoxy-D-xylulose-5-phosphate reductoisomerase	WP_016736414.1
RPHASCH2410_RS05210	formate dehydrogenase accessory	WP_012485450.1
RPHASCH2410_RS05215	formate dehydrogenase subunit alpha	WP_016736401.1
RPHASCH2410_RS05245	redox-sensitive transcriptional activator SoxR	WP_012485457.1
RPHASCH2410_RS05290	ATP synthase subunit beta	WP_012485464.1
RPHASCH2410_RS05295	ATP synthase subunit gamma	WP_016736393.1
RPHASCH2410_RS05300	ATP synthase subunit alpha	WP_016736392.1
RPHASCH2410_RS05315	primosomal protein N	WP_012485469.1
RPHASCH2410_RS05340	tyrosine recombinase XerC	WP_016736385.1
RPHASCH2410_RS05355	dihydrolipoyl dehydrogenase	WP_016736384.1
RPHASCH2410_RS05360	KR domain-containing protein	WP_016736383.1
RPHASCH2410_RS05375	dihydrolipoyllysine-residue succinyltransferase	WP_016736380.1
RPHASCH2410_RS05385	2-oxoglutarate dehydrogenase E1 component	WP_012485483.1
RPHASCH2410_RS05390	succinate--CoA ligase subunit alpha	WP_016736377.1
RPHASCH2410_RS05400	ADP-forming succinate--CoA ligase subunit beta	WP_016736375.1
RPHASCH2410_RS05410	cell division protein ZapE	WP_016736373.1
RPHASCH2410_RS05425	succinate dehydrogenase iron-sulfur subunit	WP_004679254.1
RPHASCH2410_RS05435	succinate dehydrogenase flavoprotein subunit	WP_016736368.1
RPHASCH2410_RS05445	succinate dehydrogenase, cytochrome b556	WP_016736366.1
RPHASCH2410_RS05470	NAD(P)-dependent glycerol-3-phosphate	WP_016736361.1
RPHASCH2410_RS05475	tRNA	WP_016736360.1
RPHASCH2410_RS05480	hydroxymethylbilane synthase	WP_012485497.1
RPHASCH2410_RS05525	inorganic diphosphatase	WP_012485505.1
RPHASCH2410_RS05535	translational GTPase TypA	WP_012485506.1
RPHASCH2410_RS05540	peptidase M3	WP_016736353.1
RPHASCH2410_RS05605	23S rRNA (adenine(2503)-C(2))-methyltransferase	WP_012485518.1
RPHASCH2410_RS32370	low molecular weight phosphotyrosine protein	WP_080956140.1
RPHASCH2410_RS05640	arylesterase	WP_016736341.1
RPHASCH2410_RS05645	ABC transporter ATP-binding protein	WP_012485524.1
RPHASCH2410_RS05655	BAX inhibitor (BI)-1/YccA family protein	WP_004676875.1
RPHASCH2410_RS05675	aconitate hydratase AcnA	WP_016736338.1
RPHASCH2410_RS05680	heme ABC exporter ATP-binding protein CcmA	WP_016736337.1
RPHASCH2410_RS05685	heme exporter protein CcmB	WP_012485530.1
RPHASCH2410_RS05690	heme transporter HemC	WP_029531880.1
RPHASCH2410_RS05700	DsbE family thiol:disulfide interchange protein	WP_016736334.1
RPHASCH2410_RS05715	signal recognition particle-docking protein	WP_046977081.1
RPHASCH2410_RS05725	diaminopimelate epimerase	WP_029531879.1
RPHASCH2410_RS05735	signal recognition particle protein	WP_016736329.1
RPHASCH2410_RS05745	30S ribosomal protein S16	WP_012485541.1
RPHASCH2410_RS05755	tRNA (guanosine(37)-N1)-methyltransferase TrmD	WP_016736328.1
RPHASCH2410_RS05760	50S ribosomal protein L19	WP_012485544.1
RPHASCH2410_RS05775	3-isopropylmalate dehydratase large subunit	WP_016736326.1
RPHASCH2410_RS05785	oxidoreductase	WP_029531875.1
RPHASCH2410_RS05820	DNA translocase FtsK	WP_016736319.1
RPHASCH2410_RS05825	ammonium transporter	WP_012485555.1
RPHASCH2410_RS05830	nitrogen regulatory protein P-II 1	WP_003543684.1
RPHASCH2410_RS05835	acyl-CoA thioesterase II	WP_010018231.1
RPHASCH2410_RS05840	2-octaprenyl-6-methoxyphenyl hydroxylase	WP_016736318.1
RPHASCH2410_RS05845	hypothetical protein	WP_010034724.1
RPHASCH2410_RS05910	rhizopine-binding protein	WP_012485567.1
RPHASCH2410_RS05915	sugar ABC transporter ATP-binding protein	WP_016736309.1
RPHASCH2410_RS05940	ABC transporter permease	WP_016736307.1
RPHASCH2410_RS05975	IS3 family transposase	WP_010009678.1
RPHASCH2410_RS06010	amino acid ABC transporter permease	WP_029531872.1
RPHASCH2410_RS06015	amino acid ABC transporter substrate-binding	WP_016736297.1
RPHASCH2410_RS06035	flavodoxin-dependent	WP_016736293.1
RPHASCH2410_RS06045	polyprenyl synthetase family protein	WP_029531871.1
RPHASCH2410_RS06050	monofunctional biosynthetic peptidoglycan	WP_016736291.1
RPHASCH2410_RS06065	50S ribosomal protein L32	WP_003543812.1
RPHASCH2410_RS06080	acetyl-CoA C-acetyltransferase	WP_012485594.1
RPHASCH2410_RS06100	RNA-binding S4 domain-containing protein	WP_016736286.1
RPHASCH2410_RS06140	ABC transporter ATP-binding protein	WP_016736284.1
RPHASCH2410_RS06150	homoserine O-succinyltransferase	WP_004674197.1
RPHASCH2410_RS06155	galactose mutarotase	WP_016736282.1
RPHASCH2410_RS06170	N-acetylglucosamine-6-phosphate deacetylase	WP_016736280.1
RPHASCH2410_RS06205	elongation factor P	WP_008528334.1
RPHASCH2410_RS06210	EF-P lysine aminoacylase GenX	WP_016736273.1
RPHASCH2410_RS06215	lysine-2,3-aminomutase-like protein	WP_016736272.1
RPHASCH2410_RS06270	DUF1338 domain-containing protein	WP_016736263.1
RPHASCH2410_RS06325	50S ribosomal protein L21	WP_016736254.1
RPHASCH2410_RS06330	50S ribosomal protein L27	WP_004676172.1
RPHASCH2410_RS06350	GTPase ObgE	WP_016736251.1
RPHASCH2410_RS06355	glutamate 5-kinase	WP_029531866.1
RPHASCH2410_RS06360	glutamate-5-semialdehyde dehydrogenase	WP_016736249.1
RPHASCH2410_RS06370	molybdate ABC transporter substrate-binding	WP_010022642.1
RPHASCH2410_RS06375	molybdate ABC transporter permease subunit	WP_012485640.1
RPHASCH2410_RS06380	molybdenum ABC transporter ATP-binding protein	WP_046977083.1
RPHASCH2410_RS06390	ribosome silencing factor	WP_010005695.1
RPHASCH2410_RS06395	23S rRNA	WP_010005696.1
RPHASCH2410_RS06415	RNA pyrophosphohydrolase	WP_016736242.1
RPHASCH2410_RS06420	bacterioferritin	WP_020922610.1
RPHASCH2410_RS06455	CoA ester lyase	WP_016736237.1
RPHASCH2410_RS06470	3-isopropylmalate dehydratase small subunit	WP_029531862.1
RPHASCH2410_RS06480	3-isopropylmalate dehydrogenase	WP_010024973.1
RPHASCH2410_RS06490	MFS transporter	WP_016736232.1
RPHASCH2410_RS06510	alkaline phosphatase	WP_029531859.1
RPHASCH2410_RS06520	aspartate-semialdehyde dehydrogenase	WP_016736226.1
RPHASCH2410_RS06540	pyridoxal kinase PdxY	WP_004675229.1
RPHASCH2410_RS06560	bifunctional	WP_016736221.1
RPHASCH2410_RS06570	MFS transporter	WP_016736219.1
RPHASCH2410_RS06575	protease HtpX	WP_016736218.1
RPHASCH2410_RS06585	acetyl-coenzyme A synthetase	WP_016736216.1
RPHASCH2410_RS06600	propionyl-CoA synthetase	WP_016736215.1
RPHASCH2410_RS06605	YggS family pyridoxal phosphate-dependent	WP_016736214.1
RPHASCH2410_RS06610	leucine--tRNA ligase	WP_016736213.1
RPHASCH2410_RS06640	tRNA uridine-5-carboxymethylaminomethyl(34)	WP_016736207.1
RPHASCH2410_RS06645	tRNA uridine-5-carboxymethylaminomethyl(34)	WP_016736206.1
RPHASCH2410_RS06650	transcription termination factor Rho	WP_008528706.1
RPHASCH2410_RS06660	uroporphyrinogen decarboxylase	WP_016736205.1
RPHASCH2410_RS06675	shikimate dehydrogenase	WP_016736204.1
RPHASCH2410_RS06680	dephospho-CoA kinase	WP_012482085.1
RPHASCH2410_RS06685	DNA polymerase III subunit epsilon	WP_012482086.1
RPHASCH2410_RS06690	protein-export protein SecB	WP_012482087.1
RPHASCH2410_RS06705	transglycosylase	WP_016736202.1
RPHASCH2410_RS06720	DNA topoisomerase (ATP-hydrolyzing) subunit B	WP_029531854.1
RPHASCH2410_RS06765	tryptophan synthase subunit beta	WP_016736192.1
RPHASCH2410_RS06770	tryptophan synthase subunit alpha	WP_016736191.1
RPHASCH2410_RS06775	acetyl-CoA carboxylase carboxyl transferase	WP_012482102.1
RPHASCH2410_RS06780	bifunctional folylpolyglutamate	WP_039752023.1
RPHASCH2410_RS06785	thioredoxin	WP_004672616.1
RPHASCH2410_RS06805	bifunctional tRNA	WP_016736185.1
RPHASCH2410_RS06825	PTS fructose transporter subunit IIA	WP_004672623.1
RPHASCH2410_RS06845	phosphoenolpyruvate carboxykinase	WP_016736179.1
RPHASCH2410_RS06850	aminoacyl-tRNA hydrolase	WP_012482113.1
RPHASCH2410_RS06855	alpha-ketoglutarate-dependent dioxygenase AlkB	WP_010021076.1
RPHASCH2410_RS06860	type I pantothenate kinase	WP_012482115.1
RPHASCH2410_RS06870	imidazole glycerol phosphate synthase subunit	WP_012482116.1
RPHASCH2410_RS06875	1-(5-phosphoribosyl)-5-((5-	WP_012482117.1
RPHASCH2410_RS06890	imidazole glycerol phosphate synthase subunit	WP_012482120.1
RPHASCH2410_RS06900	imidazoleglycerol-phosphate dehydratase	WP_012482121.1
RPHASCH2410_RS06905	HslU--HslV peptidase proteolytic subunit	WP_012482122.1
RPHASCH2410_RS06910	HslU--HslV peptidase ATPase subunit	WP_012482123.1
RPHASCH2410_RS06925	malate synthase G	WP_016736175.1
RPHASCH2410_RS06950	ATP-dependent helicase HrpB	WP_012482129.1
RPHASCH2410_RS07095	ABC transporter ATP-binding protein	WP_012482152.1
RPHASCH2410_RS07110	mannitol dehydrogenase family protein	WP_016735206.1
RPHASCH2410_RS07135	4-aminobutyrate--2-oxoglutarate transaminase	WP_016735201.1
RPHASCH2410_RS07155	30S ribosomal protein S1	WP_012482163.1
RPHASCH2410_RS07160	(d)CMP kinase	WP_016735197.1
RPHASCH2410_RS07200	DUF3300 domain-containing protein	WP_016735193.1
RPHASCH2410_RS07210	DUF3302 domain-containing protein	WP_016735191.1
RPHASCH2410_RS07215	HlyD family secretion protein	WP_016735190.1
RPHASCH2410_RS07255	putrescine-ornithine antiporter	WP_016735183.1
RPHASCH2410_RS07260	amino acid decarboxylase	WP_016735182.1
RPHASCH2410_RS07265	lysine decarboxylase	WP_016735181.1
RPHASCH2410_RS07285	carbamate kinase	WP_016735177.1
RPHASCH2410_RS07290	ornithine carbamoyltransferase	WP_016735176.1
RPHASCH2410_RS07365	trimeric intracellular cation channel family	WP_016735162.1
RPHASCH2410_RS07375	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	WP_016735160.1
RPHASCH2410_RS07380	beta-ketoacyl-[acyl-carrier-protein] synthase I	WP_012482204.1
RPHASCH2410_RS07395	polyribonucleotide nucleotidyltransferase	WP_016735157.1
RPHASCH2410_RS07400	30S ribosomal protein S15	WP_029531690.1
RPHASCH2410_RS07410	tRNA pseudouridine(55) synthase TruB	WP_016735154.1
RPHASCH2410_RS07420	translation initiation factor IF-2	WP_016735153.1
RPHASCH2410_RS19765	sugar-binding transcriptional regulator	WP_016733256.1
RPHASCH2410_RS19820	molybdenum cofactor guanylyltransferase MobA	WP_029531281.1
RPHASCH2410_RS19825	molybdopterin-guanine dinucleotide biosynthesis	WP_016733267.1
RPHASCH2410_RS19840	LysR family transcriptional regulator	WP_012484080.1
RPHASCH2410_RS19900	ABC transporter permease	WP_004678349.1
RPHASCH2410_RS19955	ArsR family transcriptional regulator	WP_004678370.1
RPHASCH2410_RS19965	NAD(P)-dependent oxidoreductase	WP_016733289.1
RPHASCH2410_RS19995	Lrp/AsnC family transcriptional regulator	WP_004678404.1
RPHASCH2410_RS20015	diacylglycerol kinase	WP_016733297.1
RPHASCH2410_RS20060	ABC transporter permease	WP_004678436.1
RPHASCH2410_RS20065	ABC transporter ATP-binding protein	WP_016733306.1
RPHASCH2410_RS20075	glycoside hydrolase family 43 protein	WP_046977145.1
RPHASCH2410_RS20080	glyceraldehyde 3-phosphate reductase	WP_016733311.1
RPHASCH2410_RS20140	phosphogluconate dehydrogenase	WP_029531287.1
RPHASCH2410_RS20230	nucleoside hydrolase	WP_016733323.1
RPHASCH2410_RS20240	membrane protein	WP_016733325.1
RPHASCH2410_RS20245	cob(I)yrinic acid a,c-diamide	WP_016733326.1
RPHASCH2410_RS20265	RNA polymerase-binding protein DksA	WP_008525884.1
RPHASCH2410_RS20275	amino acid regulated cytosolic protein	WP_029531255.1
RPHASCH2410_RS20290	2-amino-4-hydroxy-6-	WP_012484014.1
RPHASCH2410_RS20300	dihydropteroate synthase	WP_029531256.1
RPHASCH2410_RS20340	sensor domain-containing diguanylate cyclase	WP_012484022.1
RPHASCH2410_RS20355	ABC transporter ATP-binding protein	WP_012484025.1
RPHASCH2410_RS20365	dipeptide epimerase	WP_012484027.1
RPHASCH2410_RS20390	NADP-dependent malic enzyme	WP_016733222.1
RPHASCH2410_RS20410	3-deoxy-7-phosphoheptulonate synthase	WP_029531262.1
RPHASCH2410_RS20460	glutathione-disulfide reductase	WP_016733235.1
RPHASCH2410_RS20470	acylphosphatase	WP_016733237.1
RPHASCH2410_RS20480	ribose-5-phosphate isomerase	WP_016733238.1
RPHASCH2410_RS20495	class II fumarate hydratase	WP_016733242.1
RPHASCH2410_RS20510	fumarate hydratase	WP_016733244.1
RPHASCH2410_RS20550	GTP 3,8-cyclase MoaA	WP_016733252.1
RPHASCH2410_RS20570	N-acetyltransferase	WP_016733120.1
RPHASCH2410_RS20590	nitroreductase	WP_016733124.1
RPHASCH2410_RS20600	threonine--tRNA ligase	WP_016733126.1
RPHASCH2410_RS20610	membrane protein insertion efficiency factor	WP_016733127.1
RPHASCH2410_RS20620	GTP cyclohydrolase I FolE	WP_004680211.1
RPHASCH2410_RS20625	phosphoribosyl-AMP cyclohydrolase	WP_004680212.1
RPHASCH2410_RS20630	phosphoesterase	WP_004680213.1
RPHASCH2410_RS20685	L-serine ammonia-lyase	WP_016733137.1
RPHASCH2410_RS20735	lipoate--protein ligase B	WP_016733144.1
RPHASCH2410_RS20755	S-(hydroxymethyl)glutathione dehydrogenase/class	WP_046977150.1
RPHASCH2410_RS20760	GNAT family N-acetyltransferase	WP_016733148.1
RPHASCH2410_RS20765	YaiI/YqxD family protein	WP_029531233.1
RPHASCH2410_RS20770	QacE family quaternary ammonium compound efflux	WP_004675552.1
RPHASCH2410_RS20800	RluA family pseudouridine synthase	WP_012483948.1
RPHASCH2410_RS20825	glycine cleavage system protein T	WP_016733155.1
RPHASCH2410_RS20830	glycine cleavage system protein H	WP_010017992.1
RPHASCH2410_RS20835	glycine dehydrogenase	WP_016733156.1
RPHASCH2410_RS20840	cell-wall lytic enzyme	WP_016733157.1
RPHASCH2410_RS20850	Fe-S cluster assembly scaffold SufA	WP_012483959.1
RPHASCH2410_RS20860	cysteine desulfurase	WP_016733160.1
RPHASCH2410_RS20870	Fe-S cluster assembly ATPase SufC	WP_016733162.1
RPHASCH2410_RS20880	Fe-S cluster assembly protein SufB	WP_004675596.1
RPHASCH2410_RS20905	anhydro-N-acetylmuramic acid kinase	WP_016733167.1
RPHASCH2410_RS20910	tyrosine--tRNA ligase	WP_004675609.1
RPHASCH2410_RS20930	peroxiredoxin	WP_029531236.1
RPHASCH2410_RS20960	4-hydroxyphenylacetate 3-monooxygenase	WP_029531238.1
RPHASCH2410_RS20970	ribulose-phosphate 3-epimerase	WP_016733175.1
RPHASCH2410_RS21015	phosphoribosylaminoimidazolesuccinocarboxamide	WP_004676256.1
RPHASCH2410_RS21025	RNA 2-phosphotransferase	WP_016733183.1
RPHASCH2410_RS21075	monothiol glutaredoxin, Grx4 family	WP_012483990.1
RPHASCH2410_RS21090	GNAT family N-acetyltransferase	WP_012483993.1
RPHASCH2410_RS21105	tRNA 2-thiocytidine(32) synthetase TtcA	WP_012483995.1
RPHASCH2410_RS21110	glutaminase	WP_010024905.1
RPHASCH2410_RS21115	30S ribosomal protein S4	WP_004676212.1
RPHASCH2410_RS21125	glutamate racemase	WP_046977152.1
RPHASCH2410_RS21130	RNA methyltransferase	WP_016733193.1
RPHASCH2410_RS21170	alanine--tRNA ligase	WP_016733199.1
RPHASCH2410_RS21175	DNA recombination/repair protein RecA	WP_004676193.1
RPHASCH2410_RS21185	pseudouridine-5-phosphate glycosidase	WP_016733203.1
RPHASCH2410_RS07435	transcription termination/antitermination	WP_004673395.1
RPHASCH2410_RS07440	ribosome maturation factor RimP	WP_004673394.1
RPHASCH2410_RS07455	lytic murein transglycosylase	WP_016735150.1
RPHASCH2410_RS07460	recombination protein RecR	WP_004676724.1
RPHASCH2410_RS07470	YbaB/EbfC family nucleoid-associated protein	WP_004676719.1
RPHASCH2410_RS07475	DNA polymerase III subunit gamma/tau	WP_016735148.1
RPHASCH2410_RS07485	NAD(+) diphosphatase	WP_016735146.1
RPHASCH2410_RS07505	prephenate dehydratase	WP_004672645.1
RPHASCH2410_RS07510	3-deoxy-manno-octulosonate cytidylyltransferase	WP_016735143.1
RPHASCH2410_RS07535	D-glycerate dehydrogenase	WP_004672637.1
RPHASCH2410_RS07545	molybdopterin-synthase adenylyltransferase MoeB	WP_010021212.1
RPHASCH2410_RS07565	molecular chaperone DnaJ	WP_004672627.1
RPHASCH2410_RS07570	molecular chaperone DnaK	WP_004672626.1
RPHASCH2410_RS07605	DNA polymerase I	WP_016735133.1
RPHASCH2410_RS07645	ribose 1,5-bisphosphate phosphokinase PhnN	WP_004677184.1
RPHASCH2410_RS07650	alpha-D-ribose 1-methylphosphonate	WP_012482242.1
RPHASCH2410_RS07675	phosphonate ABC transporter ATP-binding protein	WP_029531681.1
RPHASCH2410_RS07685	phosphonate C-P lyase system protein PhnL	WP_016735121.1
RPHASCH2410_RS07690	phosphonate C-P lyase system protein PhnK	WP_010010774.1
RPHASCH2410_RS07695	carbon-phosphorus lyase complex subunit PhnJ	WP_004673514.1
RPHASCH2410_RS07700	carbon-phosphorus lyase complex subunit PhnI	WP_016735120.1
RPHASCH2410_RS07705	phosphonate C-P lyase system protein PhnH	WP_016735119.1
RPHASCH2410_RS07710	phosphonate C-P lyase system protein PhnG	WP_016735118.1
RPHASCH2410_RS07720	2,3-bisphosphoglycerate-dependent	WP_016735116.1
RPHASCH2410_RS07725	4-hydroxy-tetrahydrodipicolinate reductase	WP_016735115.1
RPHASCH2410_RS07730	ABC transporter ATP-binding protein	WP_004673526.1
RPHASCH2410_RS07735	glucokinase	WP_016735114.1
RPHASCH2410_RS07740	methylglyoxal synthase	WP_004673532.1
RPHASCH2410_RS07745	penicillin-insensitive murein endopeptidase	WP_016735113.1
RPHASCH2410_RS07750	ABC transporter substrate-binding protein	WP_016735112.1
RPHASCH2410_RS07755	microcin C ABC transporter permease YejB	WP_004673538.1
RPHASCH2410_RS07760	ABC transporter permease	WP_016735111.1
RPHASCH2410_RS07765	ABC transporter ATP-binding protein	WP_016735110.1
RPHASCH2410_RS07780	nicotinate phosphoribosyltransferase	WP_004673542.1
RPHASCH2410_RS07840	purine-nucleoside phosphorylase	WP_016735102.1
RPHASCH2410_RS07845	deoxyribose-phosphate aldolase	WP_004673564.1
RPHASCH2410_RS07850	thymidine phosphorylase	WP_016735101.1
RPHASCH2410_RS07860	uracil phosphoribosyltransferase	WP_004674949.1
RPHASCH2410_RS07865	adenosine deaminase	WP_016735099.1
RPHASCH2410_RS07870	phosphopentomutase	WP_029531678.1
RPHASCH2410_RS07955	peptidoglycan endopeptidase	WP_016735092.1
RPHASCH2410_RS07975	ABC transporter substrate-binding protein	WP_016735088.1
RPHASCH2410_RS07995	formyltetrahydrofolate deformylase	WP_012482289.1
RPHASCH2410_RS08050	sugar O-acetyltransferase	WP_016735076.1
RPHASCH2410_RS08070	elongation factor 4	WP_016735074.1
RPHASCH2410_RS08105	EamA family transporter	WP_016735068.1
RPHASCH2410_RS08130	translation initiation factor IF-3	WP_077991295.1
RPHASCH2410_RS08140	50S ribosomal protein L20	WP_004673860.1
RPHASCH2410_RS08145	phenylalanine--tRNA ligase subunit alpha	WP_016735064.1
RPHASCH2410_RS08150	phenylalanine--tRNA ligase subunit beta	WP_016735063.1
RPHASCH2410_RS08170	ferritin-like domain-containing protein	WP_004673867.1
RPHASCH2410_RS08190	gfo/Idh/MocA family oxidoreductase	WP_016735057.1
RPHASCH2410_RS08215	exodeoxyribonuclease VII large subunit	WP_016735052.1
RPHASCH2410_RS08220	flavodoxin family protein	WP_016735051.1
RPHASCH2410_RS08225	MarR family transcriptional regulator	WP_016735050.1
RPHASCH2410_RS08250	Cys-tRNA(Pro) deacylase	WP_016735045.1
RPHASCH2410_RS08255	ArsC family reductase	WP_016735044.1
RPHASCH2410_RS08290	YbhB/YbcL family Raf kinase inhibitor-like	WP_016735038.1
RPHASCH2410_RS08315	GMP synthase (glutamine-hydrolyzing)	WP_016735033.1
RPHASCH2410_RS08370	tRNA epoxyqueuosine(34) reductase QueG	WP_016735023.1
RPHASCH2410_RS08380	undecaprenyl-diphosphatase	WP_010014908.1
RPHASCH2410_RS08395	orotidine-5-phosphate decarboxylase	WP_016735019.1
RPHASCH2410_RS08410	DUF72 domain-containing protein	WP_016735016.1
RPHASCH2410_RS08415	DNA polymerase III subunit beta	WP_012482366.1
RPHASCH2410_RS08420	16S rRNA	WP_012482367.1
RPHASCH2410_RS08435	glutathione synthase	WP_016735014.1
RPHASCH2410_RS08440	ATP-binding protein	WP_016735013.1
RPHASCH2410_RS08450	cysteine synthase A	WP_016735011.1
RPHASCH2410_RS08470	dUTP diphosphatase	WP_016735007.1
RPHASCH2410_RS08475	peptide chain release factor 3	WP_016735006.1
RPHASCH2410_RS08505	MFS transporter	WP_016735000.1
RPHASCH2410_RS08520	bifunctional phosphopantothenoylcysteine	WP_016734998.1
RPHASCH2410_RS08535	MFS transporter	WP_029531660.1
RPHASCH2410_RS08575	2-polyprenylphenol 6-hydroxylase	WP_016734989.1
RPHASCH2410_RS08580	bifunctional demethylmenaquinone	WP_016734988.1
RPHASCH2410_RS08585	formamidopyrimidine-DNA glycosylase	WP_012482401.1
RPHASCH2410_RS08590	enoyl-CoA hydratase	WP_016734987.1
RPHASCH2410_RS08600	chromosomal replication initiator protein DnaA	WP_012482404.1
RPHASCH2410_RS08610	radical SAM protein	WP_016734985.1
RPHASCH2410_RS08615	non-canonical purine NTP pyrophosphatase,	WP_016734984.1
RPHASCH2410_RS08625	ribonuclease PH	WP_010024267.1
RPHASCH2410_RS08635	nucleotide exchange factor GrpE	WP_010025709.1
RPHASCH2410_RS08640	nucleoside hydrolase	WP_016734981.1
RPHASCH2410_RS08655	tRNA (guanosine(46)-N7)-methyltransferase TrmB	WP_016734980.1
RPHASCH2410_RS08660	methionine adenosyltransferase	WP_012482410.1
RPHASCH2410_RS08680	endoribonuclease YbeY	WP_016734976.1
RPHASCH2410_RS08685	phosphate starvation-inducible protein PhoH	WP_004679840.1
RPHASCH2410_RS08690	tRNA (N6-isopentenyl	WP_016734974.1
RPHASCH2410_RS08700	transcriptional repressor	WP_010004259.1
RPHASCH2410_RS08710	tRNA	WP_012482416.1
RPHASCH2410_RS08725	tryptophan--tRNA ligase	WP_004679829.1
RPHASCH2410_RS08740	murein biosynthesis integral membrane protein	WP_016734971.1
RPHASCH2410_RS08745	[protein-PII] uridylyltransferase	WP_016734970.1
